READ SERR 1 2
@./plot/relionCp-nk_half-br_pl-delchi.pco
!
3.01999998 1.99999809E-2 0.541857839 1
3.05999994 1.99999809E-2 -0.546518505 1
3.0999999 1.99999809E-2 -2.42910361 1
3.13999987 2.00001001E-2 0.930934966 1
3.18000007 1.99999809E-2 -1.58530068 1
3.22000003 1.99999809E-2 -0.545782745 1
3.25999999 1.99999809E-2 -0.215801761 1
3.29999995 1.99999809E-2 0.822956502 1
3.33999991 1.99999809E-2 -1.26039612 1
3.38000011 2.00001001E-2 -0.547259629 1
3.42000008 1.99999809E-2 0.910189867 1
3.46000004 1.99999809E-2 -2.00139737 1
3.5 1.99999809E-2 -2.41833019 1
3.53999996 1.99999809E-2 -1.44437957 1
3.57999992 1.99999809E-2 -2.70879602 1
3.61999989 2.00001001E-2 -1.20698285 1
3.66000009 1.99999809E-2 -0.486114085 1
3.70000005 1.99999809E-2 -0.960626543 1
3.74000001 1.99999809E-2 2.00133398E-2 1
3.77999997 1.99999809E-2 -1.90543401 1
3.81999993 1.99999809E-2 -1.05708444 1
3.86000013 2.00001001E-2 0.126700982 1
3.9000001 1.99999809E-2 -0.582531452 1
3.94000006 1.99999809E-2 0.510046363 1
3.98000002 1.99999809E-2 1.68334544 1
4.01999998 1.99999809E-2 0.781930387 1
4.05999994 1.99999809E-2 2.55700803 1
4.0999999 1.99999809E-2 -0.789799333 1
4.13999987 1.99999809E-2 1.68869352 1
4.17999983 1.99999809E-2 1.29912674 1
4.21999979 1.99999809E-2 1.3196156 1
4.26000023 2.00002193E-2 1.42280042 1
4.30000019 1.99999809E-2 0.304028124 1
4.34000015 1.99999809E-2 1.69308722 1
4.38000011 1.99999809E-2 -0.395906389 1
4.42000008 1.99999809E-2 0.382250994 1
4.46000004 1.99999809E-2 1.05368173 1
4.5 1.99999809E-2 -1.85075974 1
4.53999996 1.99999809E-2 -0.613976419 1
4.57999992 1.99999809E-2 -1.01577961 1
4.61999989 1.99999809E-2 -9.92901027E-2 1
4.65999985 1.99999809E-2 0.999989331 1
4.69999981 1.99999809E-2 -0.554405212 1
4.73999977 2.00002193E-2 0.666955292 1
4.78000021 1.99999809E-2 -0.294158071 1
4.82000017 1.99999809E-2 -1.09994078 1
4.86000013 1.99999809E-2 -0.450440228 1
4.9000001 1.99999809E-2 0.412814021 1
4.94000006 1.99999809E-2 0.783662617 1
4.98000002 1.99999809E-2 0.497198492 1
5.01999998 1.99999809E-2 -1.42542386 1
5.05999994 1.99999809E-2 -1.00371575 1
5.0999999 1.99999809E-2 -1.41711771 1
5.13999987 1.99999809E-2 -0.821877956 1
5.17999983 1.99999809E-2 -1.53284025 1
5.21999979 1.99999809E-2 1.63664401 1
5.26000023 2.00002193E-2 -0.623336256 1
5.30000019 1.99999809E-2 0.64863354 1
5.34000015 1.99999809E-2 -0.608608544 1
5.38000011 1.99999809E-2 -0.380085468 1
5.42000008 1.99999809E-2 -0.157580569 1
5.46000004 1.99999809E-2 0.503269911 1
5.5 1.99999809E-2 -0.117876783 1
5.53999996 1.99999809E-2 4.35860679E-2 1
5.57999992 1.99999809E-2 -0.892672598 1
5.61999989 1.99999809E-2 -2.35324335 1
5.65999985 1.99999809E-2 -1.63255298 1
5.69999981 1.99999809E-2 -1.02184904 1
5.73999977 2.00002193E-2 -1.23206556 1
5.78000021 1.99999809E-2 -1.48051751 1
5.82000017 1.99999809E-2 -0.841648221 1
5.86000013 1.99999809E-2 -0.740965486 1
5.9000001 1.99999809E-2 -0.586084127 1
5.94000006 1.99999809E-2 -0.293925196 1
5.98000002 1.99999809E-2 -8.08023568E-3 1
6.01999998 1.99999809E-2 -0.542510092 1
6.05999994 1.99999809E-2 -1.20356083 1
6.0999999 1.99999809E-2 0.459257036 1
6.13999987 1.99999809E-2 0.907269359 1
6.17999983 1.99999809E-2 0.177850083 1
6.21999979 1.99999809E-2 -0.975611389 1
6.26000023 2.00002193E-2 -0.375115603 1
6.30000019 1.99999809E-2 1.12197757 1
6.34000015 1.99999809E-2 0.544862986 1
6.38000011 1.99999809E-2 1.1471684 1
6.42000008 1.99999809E-2 1.58837998 1
6.46000004 1.99999809E-2 5.15021794E-2 1
6.5 1.99999809E-2 0.39545992 1
6.53999996 1.99999809E-2 0.502932727 1
6.57999992 1.99999809E-2 1.33918273 1
6.61999989 1.99999809E-2 1.72553754 1
