READ SERR 1
@./plot/relionCp-nk_pl-chi.pco
!
3.01999998 1.99999809E-2 -3.02372538E-2
3.05999994 1.99999809E-2 -1.15665829
3.0999999 1.99999809E-2 -7.8449502
3.13999987 2.00001001E-2 0.482940108
3.18000007 1.99999809E-2 -2.93370056
3.22000003 1.99999809E-2 -0.332843482
3.25999999 1.99999809E-2 -2.51717605E-2
3.29999995 1.99999809E-2 0.919063032
3.33999991 1.99999809E-2 -1.10550106
3.38000011 2.00001001E-2 -7.3424235E-2
3.42000008 1.99999809E-2 1.55030453
3.46000004 1.99999809E-2 -2.6020155
3.5 1.99999809E-2 -3.96110106
3.53999996 1.99999809E-2 -0.986822546
3.57999992 1.99999809E-2 -5.04293728
3.61999989 2.00001001E-2 -0.565648198
3.66000009 1.99999809E-2 -2.95581389E-3
3.70000005 1.99999809E-2 -0.313728034
3.74000001 1.99999809E-2 0.1391671
3.77999997 1.99999809E-2 -2.57609677
3.81999993 1.99999809E-2 -0.673748076
3.86000013 2.00001001E-2 8.64201188E-2
3.9000001 1.99999809E-2 -0.239385501
3.94000006 1.99999809E-2 0.279405028
3.98000002 1.99999809E-2 2.6430254
4.01999998 1.99999809E-2 0.424263
4.05999994 1.99999809E-2 5.55373383
4.0999999 1.99999809E-2 -1.11430955
4.13999987 1.99999809E-2 1.87309289
4.17999983 1.99999809E-2 0.867180288
4.21999979 1.99999809E-2 0.831871331
4.26000023 2.00002193E-2 0.974037707
4.30000019 1.99999809E-2 -2.35605333E-2
4.34000015 1.99999809E-2 1.50151944
4.38000011 1.99999809E-2 -0.759181499
4.42000008 1.99999809E-2 -7.92281143E-3
4.46000004 1.99999809E-2 0.351254284
4.5 1.99999809E-2 -5.30437756
4.53999996 1.99999809E-2 -1.09492302
4.57999992 1.99999809E-2 -2.03116679
4.61999989 1.99999809E-2 -0.230075091
4.65999985 1.99999809E-2 0.42390576
4.69999981 1.99999809E-2 -0.759175181
4.73999977 2.00002193E-2 0.150482103
4.78000021 1.99999809E-2 -0.287976146
4.82000017 1.99999809E-2 -1.69609463
4.86000013 1.99999809E-2 -0.372904867
4.9000001 1.99999809E-2 8.65962282E-2
4.94000006 1.99999809E-2 0.498703688
4.98000002 1.99999809E-2 0.211493701
5.01999998 1.99999809E-2 -2.02506709
5.05999994 1.99999809E-2 -0.930918574
5.0999999 1.99999809E-2 -1.80513823
5.13999987 1.99999809E-2 -0.514057219
5.17999983 1.99999809E-2 -1.95055461
5.21999979 1.99999809E-2 3.23711705
5.26000023 2.00002193E-2 -0.187188581
5.30000019 1.99999809E-2 0.744196653
5.34000015 1.99999809E-2 -0.136475265
5.38000011 1.99999809E-2 -1.4125268E-2
5.42000008 1.99999809E-2 1.51763549E-2
5.46000004 1.99999809E-2 0.645898461
5.5 1.99999809E-2 4.09019962E-2
5.53999996 1.99999809E-2 0.148509145
5.57999992 1.99999809E-2 -0.278517038
5.61999989 1.99999809E-2 -3.85203171
5.65999985 1.99999809E-2 -1.47604132
5.69999981 1.99999809E-2 -0.33094722
5.73999977 2.00002193E-2 -0.571213663
5.78000021 1.99999809E-2 -0.955846012
5.82000017 1.99999809E-2 -0.103315815
5.86000013 1.99999809E-2 -4.63689864E-2
5.9000001 1.99999809E-2 -5.64994058E-3
5.94000006 1.99999809E-2 3.11525334E-2
5.98000002 1.99999809E-2 0.151610896
6.01999998 1.99999809E-2 -6.07503615E-2
6.05999994 1.99999809E-2 -1.07349932
6.0999999 1.99999809E-2 0.217676371
6.13999987 1.99999809E-2 0.560045481
6.17999983 1.99999809E-2 -2.48028841E-2
6.21999979 1.99999809E-2 -2.17136765
6.26000023 2.00002193E-2 -1.01465654
6.30000019 1.99999809E-2 0.147161737
6.34000015 1.99999809E-2 -7.65210763E-2
6.38000011 1.99999809E-2 7.48895109E-2
6.42000008 1.99999809E-2 0.472318172
6.46000004 1.99999809E-2 -0.753181279
6.5 1.99999809E-2 -0.266001344
6.53999996 1.99999809E-2 -0.145162791
6.57999992 1.99999809E-2 0.267315745
6.61999989 1.99999809E-2 0.989688337
6.65999985 1.99999809E-2 -1.18998873
6.69999981 1.99999809E-2 -2.01972294
6.73999977 2.00002193E-2 9.54751431E-6
6.78000021 1.99999809E-2 0.184995949
6.82000017 1.99999809E-2 0.345131487
6.86000013 1.99999809E-2 0.727092981
6.9000001 1.99999809E-2 -0.585902691
6.94000006 1.99999809E-2 2.84621622E-2
6.98000002 1.99999809E-2 2.41874099
7.01999998 1.99999809E-2 0.829161882
7.05999994 1.99999809E-2 0.912303984
7.0999999 1.99999809E-2 0.505445302
7.13999987 1.99999809E-2 -0.439630479
7.17999983 1.99999809E-2 0.948785424
7.21999979 1.99999809E-2 -0.625717938
7.26000023 2.00002193E-2 -2.94578797E-3
7.30000019 1.99999809E-2 0.537648916
7.34000015 1.99999809E-2 1.3856744E-4
7.38000011 1.99999809E-2 -8.55522752E-2
7.42000008 1.99999809E-2 0.763349891
