READ SERR 1
@./plot/relionCp-nk_half-br_pl-chi.pco
!
3.01999998 1.99999809E-2 0.293609887
3.05999994 1.99999809E-2 -0.298682481
3.0999999 1.99999809E-2 -5.90054417
3.13999987 2.00001001E-2 0.866639912
3.18000007 1.99999809E-2 -2.51317835
3.22000003 1.99999809E-2 -0.297878802
3.25999999 1.99999809E-2 -4.65704016E-2
3.29999995 1.99999809E-2 0.677257359
3.33999991 1.99999809E-2 -1.58859837
3.38000011 2.00001001E-2 -0.299493134
3.42000008 1.99999809E-2 0.828445554
3.46000004 1.99999809E-2 -4.00559187
3.5 1.99999809E-2 -5.84832048
3.53999996 1.99999809E-2 -2.08623242
3.57999992 1.99999809E-2 -7.33757591
3.61999989 2.00001001E-2 -1.45680773
3.66000009 1.99999809E-2 -0.236306906
3.70000005 1.99999809E-2 -0.922803283
3.74000001 1.99999809E-2 4.00533783E-4
3.77999997 1.99999809E-2 -3.63067865
3.81999993 1.99999809E-2 -1.11742759
3.86000013 2.00001001E-2 1.60531402E-2
3.9000001 1.99999809E-2 -0.339342892
3.94000006 1.99999809E-2 0.260147303
3.98000002 1.99999809E-2 2.83365178
4.01999998 1.99999809E-2 0.611415148
4.05999994 1.99999809E-2 6.5382905
4.0999999 1.99999809E-2 -0.623782992
4.13999987 1.99999809E-2 2.851686
4.17999983 1.99999809E-2 1.68773031
4.21999979 1.99999809E-2 1.74138522
4.26000023 2.00002193E-2 2.0243609
4.30000019 1.99999809E-2 9.24331024E-2
4.34000015 1.99999809E-2 2.86654425
4.38000011 1.99999809E-2 -0.156741887
4.42000008 1.99999809E-2 0.146115825
4.46000004 1.99999809E-2 1.11024523
4.5 1.99999809E-2 -3.4253118
4.53999996 1.99999809E-2 -0.376967043
4.57999992 1.99999809E-2 -1.03180814
4.61999989 1.99999809E-2 -9.85852443E-3
4.65999985 1.99999809E-2 0.999978662
4.69999981 1.99999809E-2 -0.307365149
4.73999977 2.00002193E-2 0.444829404
4.78000021 1.99999809E-2 -8.65289718E-2
4.82000017 1.99999809E-2 -1.20986962
4.86000013 1.99999809E-2 -0.202896386
4.9000001 1.99999809E-2 0.170415416
4.94000006 1.99999809E-2 0.614127159
4.98000002 1.99999809E-2 0.247206345
5.01999998 1.99999809E-2 -2.03183293
5.05999994 1.99999809E-2 -1.00744545
5.0999999 1.99999809E-2 -2.00822258
5.13999987 1.99999809E-2 -0.675483406
5.17999983 1.99999809E-2 -2.34959936
5.21999979 1.99999809E-2 2.67860365
5.26000023 2.00002193E-2 -0.388548076
5.30000019 1.99999809E-2 0.420725465
5.34000015 1.99999809E-2 -0.370404363
5.38000011 1.99999809E-2 -0.144464955
5.42000008 1.99999809E-2 -2.48316359E-2
5.46000004 1.99999809E-2 0.25328058
5.5 1.99999809E-2 -1.38949361E-2
5.53999996 1.99999809E-2 1.8997452E-3
5.57999992 1.99999809E-2 -0.79686439
5.61999989 1.99999809E-2 -5.53775406
5.65999985 1.99999809E-2 -2.66522908
5.69999981 1.99999809E-2 -1.04417562
5.73999977 2.00002193E-2 -1.5179857
5.78000021 1.99999809E-2 -2.19193196
5.82000017 1.99999809E-2 -0.708371699
5.86000013 1.99999809E-2 -0.549029827
5.9000001 1.99999809E-2 -0.343494594
5.94000006 1.99999809E-2 -8.63920227E-2
5.98000002 1.99999809E-2 -6.52902017E-5
6.01999998 1.99999809E-2 -0.294317186
6.05999994 1.99999809E-2 -1.44855869
6.0999999 1.99999809E-2 0.210917041
6.13999987 1.99999809E-2 0.823137641
6.17999983 1.99999809E-2 3.16306502E-2
6.21999979 1.99999809E-2 -0.951817513
6.26000023 2.00002193E-2 -0.140711725
6.30000019 1.99999809E-2 1.25883365
6.34000015 1.99999809E-2 0.296875685
6.38000011 1.99999809E-2 1.31599522
6.42000008 1.99999809E-2 2.52295089
6.46000004 1.99999809E-2 2.65247445E-3
6.5 1.99999809E-2 0.156388551
6.53999996 1.99999809E-2 0.25294131
6.57999992 1.99999809E-2 1.79341042
6.61999989 1.99999809E-2 2.97747993
6.65999985 1.99999809E-2 -0.23373726
6.69999981 1.99999809E-2 -0.968570232
6.73999977 2.00002193E-2 5.62617369E-2
6.78000021 1.99999809E-2 0.194338948
6.82000017 1.99999809E-2 0.139928535
6.86000013 1.99999809E-2 0.183619604
6.9000001 1.99999809E-2 -1.88233936
6.94000006 1.99999809E-2 -0.326268882
6.98000002 1.99999809E-2 0.538819969
7.01999998 1.99999809E-2 3.3798553E-3
7.05999994 1.99999809E-2 1.48647428E-2
7.0999999 1.99999809E-2 -4.2557423E-3
7.13999987 1.99999809E-2 -1.8525449
7.17999983 1.99999809E-2 0.140339121
7.21999979 1.99999809E-2 -1.71488619
7.26000023 2.00002193E-2 -0.243616655
7.30000019 1.99999809E-2 0.124067441
7.34000015 1.99999809E-2 -0.112326927
